,id,network_id,degree,definition
12265,11036,3,103.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1], ""active_index"": 12}"
12407,11181,3,104.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1], ""active_index"": 9}"
12411,11350,3,105.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 0}"
12437,11381,3,106.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 2}"
12702,11475,3,107.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 4}"
12834,11639,3,108.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 14}"
6331,11690,3,109.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1], ""active_index"": 10}"
8350,11881,3,110.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 3}"
9253,11958,3,111.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 8}"
11088,12007,3,112.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 7}"
11847,12145,3,113.0,"{""vector"": [1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 1}"
12396,12234,3,114.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 15}"
13051,12358,3,115.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 6}"
12395,12514,3,116.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1], ""active_index"": 11}"
13320,12558,3,117.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 5}"
13386,12730,3,118.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 13}"
13523,12838,3,119.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 12}"
13528,12860,3,120.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 9}"
13653,12976,3,121.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 0}"
13744,13153,3,122.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 2}"
13943,13266,3,123.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 4}"
14184,13392,3,124.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1], ""active_index"": 14}"
14415,13479,3,125.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1], ""active_index"": 10}"
14299,13581,3,126.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1], ""active_index"": 3}"
14562,13647,3,127.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1], ""active_index"": 8}"
14768,13712,3,128.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1], ""active_index"": 7}"
14775,13814,3,129.0,"{""vector"": [1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], ""active_index"": 1}"
15187,13983,3,130.0,"{""vector"": [1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], ""active_index"": 15}"
15154,14121,3,131.0,"{""vector"": [1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0], ""active_index"": 6}"
15151,14182,3,132.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0], ""active_index"": 11}"
15112,14268,3,133.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0], ""active_index"": 5}"
15530,14399,3,134.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0], ""active_index"": 13}"
15745,14530,3,135.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0], ""active_index"": 12}"
15748,14612,3,136.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0], ""active_index"": 9}"
15887,14742,3,137.0,"{""vector"": [1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""active_index"": 0}"
15934,14840,3,138.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""active_index"": 2}"
15937,14967,3,139.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""active_index"": 4}"
16405,15054,3,140.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0], ""active_index"": 14}"
16560,15182,3,141.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 10}"
16576,15286,3,142.0,"{""vector"": [0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0], ""active_index"": 3}"
